Thr118    280.09M / 102.32(s) =    22.96Mb/s       31894op/s 
Thr119    293.65M / 102.32(s) =    24.08Mb/s       33438op/s 
Thr120    318.41M / 102.32(s) =    26.11Mb/s       36257op/s 
Thr121    299.03M / 102.32(s) =    24.52Mb/s       34050op/s 
Thr122    351.58M / 102.32(s) =    28.82Mb/s       40035op/s 
Thr123    310.43M /16849586606.39(s) =      0.15b/s           0op/s 
Thr124    319.06M / 102.32(s) =    26.16Mb/s       36331op/s 
Thr125    352.96M / 102.32(s) =    28.94Mb/s       40192op/s 
Thr126    314.22M / 102.32(s) =    25.76Mb/s       35780op/s 
Thr127    326.55M / 102.32(s) =    26.77Mb/s       37185op/s 
Thr128    337.45M / 102.32(s) =    27.67Mb/s       38427op/s 
Thr129    334.27M / 102.32(s) =    27.41Mb/s       38064op/s 
Thr130    286.20M / 102.32(s) =    23.46Mb/s       32590op/s 
Thr131    330.58M / 102.32(s) =    27.10Mb/s       37643op/s 
Thr132    274.97M / 102.32(s) =    22.54Mb/s       31311op/s 
Thr133    293.35M / 102.32(s) =    24.05Mb/s       33404op/s 
Thr134    277.53M / 102.31(s) =    22.75Mb/s       31603op/s 
Thr135    313.10M / 102.32(s) =    25.67Mb/s       35653op/s 
Thr136    309.11M / 102.31(s) =    25.34Mb/s       35199op/s 
Thr137    272.40M / 102.32(s) =    22.33Mb/s       31018op/s 
Thr138    277.58M / 102.32(s) =    22.76Mb/s       31609op/s 
Thr139    295.37M / 102.31(s) =    24.22Mb/s       33634op/s 
Thr140    332.21M / 102.31(s) =    27.24Mb/s       37830op/s 
Thr141    275.39M / 102.31(s) =    22.58Mb/s       31359op/s 
Thr142    299.34M / 102.31(s) =    24.54Mb/s       34087op/s 
Thr143    332.26M / 102.31(s) =    27.24Mb/s       37836op/s 
Thr144    295.59M / 102.31(s) =    24.23Mb/s       33659op/s 
Thr145    267.86M / 102.31(s) =    21.96Mb/s       30502op/s 
Thr146    293.76M / 102.31(s) =    24.08Mb/s       33451op/s 
Thr147    340.54M / 102.31(s) =    27.92Mb/s       38778op/s 
Thr148    265.60M / 102.31(s) =    21.78Mb/s       30245op/s 
Thr149    290.48M / 102.31(s) =    23.82Mb/s       33077op/s 
Thr150    309.99M / 102.32(s) =    25.42Mb/s       35299op/s 
Thr151    300.22M / 102.31(s) =    24.61Mb/s       34187op/s 
Thr152    287.87M / 102.31(s) =    23.60Mb/s       32781op/s 
Thr153    310.90M / 102.31(s) =    25.49Mb/s       35404op/s 
Thr154    331.38M / 102.31(s) =    27.17Mb/s       37735op/s 
Thr155    293.12M / 102.31(s) =    24.03Mb/s       33379op/s 
Thr156    292.09M / 102.31(s) =    23.95Mb/s       33261op/s 
Thr157    287.43M / 102.31(s) =    23.57Mb/s       32731op/s 
Thr158    318.80M / 102.31(s) =    26.14Mb/s       36303op/s 
Thr159    281.25M / 102.31(s) =    23.06Mb/s       32027op/s 
Thr160    314.73M / 102.31(s) =    25.80Mb/s       35840op/s 
Thr161    313.61M / 102.31(s) =    25.71Mb/s       35712op/s 
Thr162    303.12M / 102.31(s) =    24.85Mb/s       34518op/s 
Thr163    295.12M / 102.31(s) =    24.20Mb/s       33607op/s 
Thr164    314.31M / 102.31(s) =    25.77Mb/s       35792op/s 
Thr165    291.81M / 102.31(s) =    23.93Mb/s       33230op/s 
Thr166    307.66M / 102.31(s) =    25.22Mb/s       35034op/s 
Thr167    309.73M / 102.31(s) =    25.39Mb/s       35271op/s 
Thr168    312.02M / 102.31(s) =    25.58Mb/s       35531op/s 
Thr169    324.28M / 102.31(s) =    26.59Mb/s       36927op/s 
Thr170    261.57M / 102.31(s) =    21.45Mb/s       29786op/s 
Thr171    328.84M / 102.31(s) =    26.96Mb/s       37447op/s 
Thr172    278.92M / 102.31(s) =    22.87Mb/s       31762op/s 
Thr173    262.73M / 102.31(s) =    21.54Mb/s       29918op/s 
Thr174    281.92M / 102.31(s) =    23.11Mb/s       32104op/s 
Thr175    308.59M / 102.31(s) =    25.30Mb/s       35141op/s 
Thr176    283.11M / 102.31(s) =    23.21Mb/s       32239op/s 
Thr177    293.91M / 102.31(s) =    24.10Mb/s       33469op/s 
Thr178    299.97M / 102.31(s) =    24.59Mb/s       34160op/s 
Thr179    303.23M / 102.31(s) =    24.86Mb/s       34531op/s 
Thr180    293.11M / 102.31(s) =    24.03Mb/s       33378op/s 
Thr181    286.55M / 102.31(s) =    23.49Mb/s       32631op/s 
Thr182    284.83M / 102.31(s) =    23.35Mb/s       32435op/s 
Thr183    266.20M / 102.31(s) =    21.83Mb/s       30313op/s 
Thr184    295.97M / 102.31(s) =    24.27Mb/s       33704op/s 
Thr185    274.42M / 102.31(s) =    22.50Mb/s       31250op/s 
Thr186    320.82M / 102.31(s) =    26.30Mb/s       36533op/s 
Thr187    279.72M / 102.31(s) =    22.93Mb/s       31853op/s 
Thr188    250.96M / 102.31(s) =    20.58Mb/s       28578op/s 
Thr189    281.73M / 102.31(s) =    23.10Mb/s       32082op/s 
Thr190    320.36M / 102.31(s) =    26.27Mb/s       36482op/s 
Thr191    295.71M / 102.31(s) =    24.25Mb/s       33674op/s 


Txn                Count         avg         cpu         max         min 
-------------------------------------------------------------------------------
Txn0                 192     35.78ms      0.00ns     52.75ms     22.36us 
Txn1            335411332     57.23us      0.00ns     13.40ms      5.50us 
Txn2                 191     51.66us      0.00ns    878.26us      0.00ns 


Flowop             Count         avg         cpu         max         min 
-------------------------------------------------------------------------------
accept               192     35.78ms      0.00ns     52.75ms     21.88us 
write           335411332      7.67us      0.00ns     11.36ms      1.50us 
read            335411179     49.47us      0.00ns     13.31ms    417.00ns 
disconnect           191     50.21us      0.00ns    877.05us      0.00ns 


Netstat statistics for this run
-------------------------------------------------------------------------------
Nic       opkts/s     ipkts/s      obits/s      ibits/s
lo        6556845     6556845     7.45Gb/s     7.45Gb/s 
enp1s0           0           1    105.09b/s    545.86b/s 
-------------------------------------------------------------------------------

Run Statistics
Hostname            Time       Data   Throughput   Operations      Errors
-------------------------------------------------------------------------------
127.0.0.1        102.32s    56.23GB     4.72Gb/s    670823071        0.00
master           102.31s    56.23GB     4.72Gb/s    670823087        0.00
-------------------------------------------------------------------------------
Difference(%)     -0.01%      0.00%        0.01%        0.00%       0.00%

** 384 Warnings Send buffer: 100.00KB (Requested:50.00KB)  
** 384 Warnings Recv buffer: 100.00KB (Requested:50.00KB)  
** [127.0.0.1] 192 Warnings  Send buffer: 100.00KB (Requested:50.00KB)  
192 Warnings  Recv buffer: 100.00KB (Requested:50.00KB)  
  

